Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsWithCurrManager,Attrition,YearsSinceLastPromotionMEAN
53.0,Travel_Rarely,Research & Development,5.0,3.0,Other,3.0,Female,3.0,5.0,Manager,3.0,Divorced,19094.0,4.0,No,11.0,4.0,1.0,26.0,3.0,2.0,14.0,8.0,0.0,8.5
30.0,Travel_Rarely,Research & Development,8.0,2.0,Life Sciences,2.0,Female,4.0,3.0,Research Director,1.0,Married,11416.0,0.0,Yes,12.0,3.0,3.0,9.0,4.0,2.0,8.0,7.0,0.0,4.0
28.0,Non-Travel,Human Resources,1.0,2.0,Life Sciences,3.0,Male,3.0,1.0,Human Resources,4.0,Divorced,2706.0,1.0,No,15.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0
34.0,Travel_Rarely,Research & Development,2.0,4.0,Technical Degree,3.0,Female,3.0,2.0,Healthcare Representative,4.0,Single,6687.0,1.0,No,11.0,4.0,0.0,14.0,2.0,4.0,14.0,11.0,0.0,7.5
42.0,Travel_Rarely,Research & Development,3.0,3.0,Life Sciences,3.0,Female,4.0,2.0,Laboratory Technician,4.0,Married,5231.0,2.0,Yes,13.0,2.0,1.0,17.0,1.0,2.0,5.0,3.0,0.0,2.0
45.0,Travel_Rarely,Research & Development,1.0,3.0,Other,3.0,Male,4.0,5.0,Manager,4.0,Married,19202.0,0.0,No,11.0,3.0,1.0,25.0,2.0,3.0,24.0,7.0,0.0,0.5
29.0,Non-Travel,Research & Development,1.0,1.0,Technical Degree,4.0,Male,3.0,2.0,Manufacturing Director,3.0,Married,4319.0,1.0,No,13.0,1.0,1.0,10.0,1.0,3.0,10.0,9.0,0.0,3.5
45.0,Travel_Frequently,Sales,26.0,4.0,Life Sciences,1.0,Female,3.0,2.0,Sales Executive,1.0,Married,4286.0,2.0,No,14.0,4.0,2.0,5.0,4.0,3.0,1.0,0.0,1.0,0.5
32.0,Travel_Rarely,Research & Development,2.0,1.0,Technical Degree,4.0,Male,2.0,2.0,Laboratory Technician,1.0,Single,2176.0,4.0,No,13.0,4.0,0.0,9.0,5.0,3.0,6.0,4.0,0.0,1.0
33.0,Travel_Frequently,Research & Development,5.0,4.0,Life Sciences,4.0,Female,3.0,3.0,Manager,2.0,Married,11878.0,6.0,No,11.0,2.0,2.0,12.0,2.0,3.0,10.0,8.0,0.0,7.0
26.0,Travel_Rarely,Sales,10.0,3.0,Medical,3.0,Male,3.0,2.0,Sales Executive,4.0,Single,4684.0,1.0,No,13.0,1.0,0.0,5.0,4.0,3.0,5.0,2.0,0.0,2.0
26.0,Travel_Rarely,Research & Development,1.0,2.0,Life Sciences,2.0,Female,2.0,1.0,Research Scientist,3.0,Married,2933.0,1.0,Yes,13.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.5
38.0,Travel_Frequently,Research & Development,12.0,3.0,Life Sciences,1.0,Male,2.0,2.0,Healthcare Representative,1.0,Divorced,6288.0,2.0,No,15.0,3.0,1.0,13.0,3.0,2.0,4.0,2.0,0.0,2.0
41.0,Travel_Rarely,Research & Development,7.0,2.0,Technical Degree,2.0,Female,4.0,1.0,Research Scientist,3.0,Married,3376.0,1.0,No,13.0,3.0,0.0,10.0,3.0,3.0,10.0,8.0,0.0,3.0
35.0,Travel_Frequently,Research & Development,25.0,4.0,Life Sciences,4.0,Female,3.0,1.0,Research Scientist,2.0,Divorced,2022.0,1.0,Yes,19.0,1.0,1.0,10.0,3.0,2.0,10.0,8.0,1.0,4.5
24.0,Travel_Rarely,Research & Development,29.0,1.0,Medical,2.0,Male,3.0,1.0,Laboratory Technician,1.0,Divorced,3907.0,1.0,No,13.0,2.0,3.0,6.0,2.0,4.0,6.0,2.0,0.0,1.5
38.0,Travel_Rarely,Sales,2.0,2.0,Marketing,4.0,Male,3.0,3.0,Sales Executive,2.0,Single,7351.0,7.0,No,16.0,3.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0
40.0,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,2.0,Male,3.0,1.0,Laboratory Technician,2.0,Married,2387.0,3.0,No,22.0,3.0,1.0,7.0,3.0,3.0,4.0,3.0,0.0,1.0
37.0,Travel_Rarely,Research & Development,25.0,2.0,Medical,3.0,Female,2.0,2.0,Healthcare Representative,4.0,Divorced,5731.0,7.0,No,13.0,3.0,2.0,9.0,2.0,3.0,6.0,3.0,0.0,1.5
30.0,Travel_Rarely,Sales,7.0,4.0,Marketing,4.0,Female,3.0,2.0,Sales Executive,1.0,Divorced,4779.0,7.0,No,14.0,2.0,2.0,8.0,3.0,3.0,3.0,2.0,0.0,1.0
35.0,Travel_Rarely,Sales,18.0,3.0,Medical,3.0,Female,3.0,2.0,Sales Executive,3.0,Married,4601.0,1.0,No,16.0,2.0,0.0,5.0,3.0,3.0,5.0,0.0,0.0,1.5
29.0,Travel_Frequently,Sales,24.0,3.0,Technical Degree,3.0,Male,4.0,1.0,Sales Representative,1.0,Single,1091.0,1.0,No,17.0,4.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0
50.0,Travel_Rarely,Research & Development,28.0,3.0,Life Sciences,4.0,Female,3.0,4.0,Research Director,1.0,Married,16880.0,4.0,Yes,11.0,2.0,0.0,25.0,2.0,3.0,3.0,2.0,0.0,1.5
48.0,Travel_Rarely,Research & Development,2.0,2.0,Technical Degree,4.0,Male,4.0,1.0,Laboratory Technician,2.0,Single,2559.0,5.0,No,11.0,3.0,0.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0
42.0,Travel_Frequently,Research & Development,2.0,1.0,Medical,2.0,Male,3.0,1.0,Research Scientist,4.0,Single,2515.0,5.0,Yes,14.0,4.0,0.0,8.0,2.0,3.0,2.0,2.0,0.0,1.5
28.0,Travel_Rarely,Research & Development,9.0,3.0,Medical,4.0,Male,3.0,1.0,Research Scientist,4.0,Married,2070.0,1.0,No,23.0,4.0,1.0,5.0,3.0,2.0,5.0,4.0,0.0,1.0
36.0,Travel_Frequently,Research & Development,4.0,2.0,Life Sciences,4.0,Female,3.0,2.0,Manufacturing Director,2.0,Divorced,5131.0,7.0,No,13.0,2.0,3.0,18.0,3.0,3.0,4.0,2.0,0.0,1.0
52.0,Travel_Rarely,Research & Development,3.0,3.0,Medical,4.0,Male,2.0,3.0,Manufacturing Director,3.0,Married,7969.0,2.0,Yes,14.0,3.0,0.0,28.0,4.0,3.0,5.0,4.0,0.0,2.0
38.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,4.0,Male,3.0,1.0,Research Scientist,4.0,Single,3944.0,5.0,Yes,11.0,3.0,0.0,6.0,3.0,3.0,3.0,2.0,0.0,1.5
38.0,Non-Travel,Human Resources,2.0,3.0,Human Resources,1.0,Male,3.0,1.0,Human Resources,2.0,Divorced,2592.0,5.0,No,13.0,4.0,3.0,13.0,3.0,3.0,11.0,8.0,0.0,6.5
40.0,Travel_Rarely,Sales,10.0,3.0,Technical Degree,2.0,Female,2.0,2.0,Sales Executive,2.0,Divorced,6852.0,7.0,No,12.0,2.0,1.0,7.0,2.0,4.0,5.0,3.0,0.0,1.0
40.0,Travel_Rarely,Research & Development,16.0,3.0,Life Sciences,3.0,Female,3.0,3.0,Manufacturing Director,4.0,Single,7945.0,6.0,Yes,15.0,4.0,0.0,18.0,2.0,2.0,4.0,3.0,0.0,2.5
47.0,Travel_Rarely,Research & Development,2.0,4.0,Medical,1.0,Female,3.0,4.0,Research Director,3.0,Married,17169.0,3.0,No,19.0,2.0,2.0,26.0,2.0,4.0,20.0,6.0,0.0,11.0
37.0,Travel_Rarely,Sales,1.0,4.0,Life Sciences,1.0,Male,2.0,3.0,Sales Executive,3.0,Married,10609.0,5.0,No,11.0,3.0,0.0,17.0,2.0,1.0,14.0,7.0,1.0,6.0
37.0,Travel_Rarely,Research & Development,1.0,2.0,Medical,3.0,Female,2.0,1.0,Research Scientist,1.0,Married,3920.0,2.0,No,14.0,1.0,1.0,17.0,2.0,2.0,3.0,2.0,0.0,0.5
39.0,Travel_Rarely,Research & Development,19.0,4.0,Other,4.0,Male,3.0,2.0,Research Scientist,4.0,Divorced,3902.0,8.0,No,14.0,2.0,3.0,7.0,2.0,3.0,2.0,2.0,0.0,2.0
45.0,Non-Travel,Sales,9.0,4.0,Life Sciences,2.0,Female,2.0,2.0,Sales Executive,3.0,Married,5593.0,1.0,No,13.0,4.0,1.0,15.0,2.0,3.0,15.0,12.0,0.0,7.0
31.0,Travel_Frequently,Research & Development,2.0,3.0,Life Sciences,2.0,Male,3.0,1.0,Laboratory Technician,4.0,Married,3722.0,6.0,Yes,13.0,3.0,1.0,7.0,2.0,1.0,2.0,2.0,1.0,2.0
49.0,Travel_Frequently,Research & Development,2.0,1.0,Life Sciences,2.0,Male,3.0,5.0,Research Director,4.0,Married,19161.0,3.0,No,15.0,4.0,0.0,28.0,3.0,3.0,5.0,3.0,0.0,4.0
54.0,Travel_Frequently,Research & Development,20.0,4.0,Life Sciences,4.0,Female,3.0,2.0,Research Scientist,3.0,Single,4869.0,3.0,No,12.0,4.0,0.0,20.0,4.0,2.0,4.0,3.0,0.0,1.5
37.0,Travel_Rarely,Research & Development,6.0,3.0,Medical,3.0,Male,4.0,2.0,Research Scientist,1.0,Divorced,5974.0,4.0,Yes,13.0,1.0,2.0,13.0,2.0,3.0,7.0,7.0,0.0,6.5
42.0,Travel_Rarely,Research & Development,1.0,2.0,Life Sciences,4.0,Female,2.0,2.0,Manufacturing Director,4.0,Married,6062.0,9.0,Yes,13.0,4.0,1.0,8.0,4.0,3.0,4.0,2.0,0.0,1.5
49.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,3.0,Male,3.0,4.0,Manager,3.0,Single,15379.0,4.0,No,14.0,1.0,0.0,23.0,2.0,3.0,8.0,0.0,0.0,3.5
44.0,Travel_Rarely,Human Resources,1.0,2.0,Medical,2.0,Male,2.0,3.0,Human Resources,1.0,Married,10482.0,9.0,No,14.0,4.0,1.0,24.0,1.0,3.0,20.0,6.0,1.0,4.5
22.0,Travel_Rarely,Research & Development,11.0,3.0,Medical,1.0,Female,3.0,1.0,Research Scientist,2.0,Married,2244.0,1.0,No,13.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0
45.0,Non-Travel,Sales,26.0,3.0,Marketing,1.0,Male,2.0,2.0,Sales Executive,1.0,Married,4385.0,1.0,No,15.0,1.0,1.0,10.0,2.0,3.0,10.0,5.0,0.0,5.5
36.0,Travel_Frequently,Research & Development,23.0,2.0,Medical,3.0,Male,4.0,2.0,Laboratory Technician,4.0,Married,2571.0,4.0,No,17.0,3.0,1.0,17.0,3.0,3.0,5.0,3.0,0.0,1.0
45.0,Travel_Rarely,Research & Development,20.0,2.0,Medical,3.0,Male,3.0,4.0,Healthcare Representative,4.0,Married,13496.0,0.0,Yes,14.0,2.0,0.0,21.0,2.0,3.0,20.0,10.0,0.0,5.5
46.0,Travel_Rarely,Human Resources,5.0,2.0,Medical,2.0,Male,3.0,2.0,Human Resources,2.0,Divorced,5021.0,8.0,Yes,22.0,4.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,1.0
33.0,Travel_Rarely,Sales,16.0,3.0,Marketing,1.0,Female,3.0,2.0,Sales Executive,1.0,Single,5324.0,5.0,No,15.0,3.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0
37.0,Travel_Frequently,Sales,21.0,2.0,Medical,3.0,Female,3.0,1.0,Sales Representative,4.0,Married,2973.0,5.0,No,15.0,2.0,1.0,10.0,3.0,3.0,5.0,0.0,0.0,2.0
34.0,Travel_Frequently,Research & Development,10.0,4.0,Life Sciences,3.0,Male,4.0,2.0,Manufacturing Director,4.0,Divorced,4724.0,1.0,No,13.0,1.0,1.0,9.0,3.0,3.0,9.0,2.0,0.0,7.0
35.0,Travel_Rarely,Sales,10.0,3.0,Medical,4.0,Male,2.0,3.0,Sales Executive,1.0,Married,10306.0,9.0,No,17.0,3.0,0.0,15.0,3.0,3.0,13.0,0.0,1.0,9.0
34.0,Travel_Rarely,Research & Development,9.0,3.0,Medical,4.0,Female,2.0,3.0,Healthcare Representative,2.0,Single,8621.0,1.0,No,14.0,2.0,0.0,9.0,3.0,4.0,8.0,7.0,0.0,7.0
30.0,Travel_Rarely,Research & Development,7.0,4.0,Life Sciences,3.0,Male,3.0,2.0,Laboratory Technician,3.0,Divorced,3491.0,1.0,No,13.0,1.0,3.0,10.0,4.0,2.0,10.0,9.0,0.0,7.5
42.0,Travel_Rarely,Research & Development,18.0,4.0,Life Sciences,4.0,Male,3.0,2.0,Research Scientist,1.0,Divorced,5410.0,6.0,Yes,17.0,3.0,1.0,9.0,3.0,2.0,4.0,2.0,0.0,2.0
46.0,Travel_Rarely,Sales,9.0,3.0,Marketing,1.0,Male,3.0,3.0,Sales Executive,4.0,Divorced,10096.0,4.0,No,11.0,1.0,1.0,28.0,1.0,4.0,7.0,3.0,1.0,5.5
40.0,Travel_Rarely,Research & Development,2.0,2.0,Life Sciences,3.0,Female,3.0,1.0,Laboratory Technician,1.0,Married,3377.0,4.0,No,17.0,4.0,1.0,7.0,5.0,2.0,4.0,2.0,0.0,1.5
40.0,Travel_Rarely,Sales,2.0,4.0,Life Sciences,3.0,Female,3.0,5.0,Manager,3.0,Married,18041.0,0.0,No,14.0,4.0,0.0,21.0,2.0,3.0,20.0,12.0,0.0,8.0
30.0,Travel_Rarely,Research & Development,6.0,3.0,Technical Degree,1.0,Female,2.0,2.0,Laboratory Technician,4.0,Married,4627.0,0.0,No,12.0,1.0,1.0,10.0,6.0,3.0,9.0,7.0,0.0,4.0
43.0,Travel_Rarely,Sales,4.0,4.0,Marketing,4.0,Female,2.0,3.0,Sales Executive,4.0,Single,10231.0,3.0,No,14.0,4.0,0.0,23.0,3.0,4.0,21.0,17.0,0.0,11.0
30.0,Travel_Rarely,Research & Development,22.0,3.0,Life Sciences,1.0,Female,3.0,1.0,Research Scientist,3.0,Married,2132.0,4.0,Yes,11.0,2.0,0.0,7.0,2.0,3.0,5.0,1.0,1.0,1.0
27.0,Travel_Rarely,Research & Development,11.0,1.0,Life Sciences,2.0,Male,3.0,1.0,Laboratory Technician,1.0,Married,2099.0,0.0,No,14.0,2.0,0.0,6.0,3.0,4.0,5.0,4.0,0.0,0.5
30.0,Travel_Rarely,Human Resources,9.0,3.0,Human Resources,3.0,Male,3.0,2.0,Human Resources,4.0,Married,6347.0,0.0,Yes,19.0,4.0,0.0,12.0,2.0,1.0,11.0,7.0,0.0,6.5
34.0,Travel_Rarely,Sales,9.0,1.0,Life Sciences,2.0,Female,3.0,2.0,Sales Executive,3.0,Married,5714.0,1.0,No,20.0,1.0,0.0,6.0,3.0,2.0,6.0,3.0,0.0,3.0
43.0,Travel_Rarely,Research & Development,7.0,3.0,Life Sciences,3.0,Female,3.0,3.0,Healthcare Representative,1.0,Married,9985.0,8.0,No,16.0,1.0,1.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0
54.0,Travel_Rarely,Sales,2.0,4.0,Life Sciences,3.0,Female,2.0,3.0,Sales Executive,3.0,Married,10686.0,6.0,No,11.0,2.0,1.0,13.0,4.0,3.0,9.0,0.0,0.0,5.5
40.0,Travel_Rarely,Research & Development,10.0,4.0,Life Sciences,4.0,Female,4.0,1.0,Laboratory Technician,3.0,Married,2213.0,3.0,Yes,13.0,3.0,1.0,10.0,3.0,3.0,7.0,7.0,0.0,4.0
29.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,1.0,Male,3.0,2.0,Healthcare Representative,1.0,Married,5373.0,0.0,No,12.0,1.0,1.0,6.0,5.0,2.0,5.0,2.0,0.0,1.5
31.0,Travel_Rarely,Sales,7.0,3.0,Technical Degree,2.0,Male,4.0,2.0,Sales Executive,4.0,Married,6929.0,4.0,No,11.0,2.0,1.0,10.0,3.0,2.0,8.0,7.0,0.0,7.0
55.0,Travel_Rarely,Research & Development,1.0,3.0,Medical,4.0,Male,3.0,5.0,Manager,1.0,Single,19045.0,0.0,Yes,14.0,3.0,0.0,37.0,2.0,3.0,36.0,13.0,0.0,7.0
34.0,Travel_Rarely,Research & Development,1.0,5.0,Life Sciences,2.0,Male,3.0,1.0,Research Scientist,4.0,Married,2691.0,1.0,No,12.0,4.0,1.0,10.0,4.0,2.0,10.0,8.0,0.0,8.5
37.0,Travel_Rarely,Research & Development,5.0,2.0,Medical,4.0,Male,3.0,2.0,Manufacturing Director,4.0,Divorced,6347.0,7.0,No,16.0,3.0,2.0,8.0,2.0,2.0,6.0,4.0,0.0,1.0
35.0,Travel_Frequently,Sales,1.0,3.0,Marketing,3.0,Female,3.0,3.0,Sales Executive,3.0,Single,8789.0,1.0,No,14.0,1.0,0.0,10.0,3.0,4.0,10.0,8.0,0.0,3.5
39.0,Travel_Rarely,Research & Development,2.0,4.0,Technical Degree,4.0,Female,2.0,2.0,Healthcare Representative,3.0,Single,4553.0,1.0,No,11.0,1.0,0.0,20.0,4.0,3.0,20.0,10.0,0.0,9.0
37.0,Non-Travel,Research & Development,2.0,2.0,Life Sciences,3.0,Male,2.0,2.0,Healthcare Representative,4.0,Divorced,5163.0,5.0,No,14.0,4.0,1.0,17.0,2.0,4.0,1.0,0.0,0.0,0.0
45.0,Travel_Rarely,Research & Development,2.0,2.0,Other,4.0,Female,2.0,2.0,Manufacturing Director,4.0,Divorced,5770.0,1.0,No,19.0,1.0,2.0,10.0,3.0,3.0,10.0,9.0,0.0,5.0
40.0,Travel_Rarely,Research & Development,2.0,2.0,Medical,1.0,Male,3.0,5.0,Research Director,3.0,Divorced,19436.0,0.0,No,19.0,4.0,1.0,22.0,5.0,3.0,21.0,9.0,0.0,5.0
46.0,Travel_Rarely,Sales,10.0,3.0,Marketing,3.0,Female,2.0,3.0,Sales Executive,4.0,Married,9071.0,2.0,Yes,19.0,3.0,1.0,15.0,3.0,3.0,3.0,2.0,0.0,1.5
28.0,Travel_Rarely,Sales,10.0,1.0,Medical,4.0,Male,3.0,1.0,Sales Representative,2.0,Married,1052.0,1.0,No,22.0,2.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0
29.0,Travel_Frequently,Sales,2.0,2.0,Life Sciences,2.0,Male,3.0,2.0,Sales Executive,4.0,Single,4554.0,1.0,No,18.0,1.0,0.0,10.0,3.0,2.0,10.0,9.0,0.0,3.5
36.0,Travel_Rarely,Sales,2.0,4.0,Life Sciences,3.0,Male,3.0,1.0,Sales Representative,4.0,Single,2644.0,3.0,Yes,21.0,4.0,0.0,7.0,3.0,2.0,3.0,2.0,0.0,1.5
30.0,Travel_Rarely,Research & Development,18.0,3.0,Life Sciences,1.0,Female,3.0,1.0,Research Scientist,3.0,Single,2632.0,1.0,No,14.0,3.0,0.0,5.0,4.0,2.0,5.0,4.0,0.0,2.0
33.0,Travel_Rarely,Research & Development,4.0,4.0,Medical,3.0,Female,2.0,1.0,Research Scientist,2.0,Married,2622.0,6.0,No,21.0,4.0,0.0,7.0,3.0,3.0,3.0,1.0,0.0,1.5
31.0,Travel_Rarely,Research & Development,12.0,1.0,Medical,3.0,Female,3.0,1.0,Research Scientist,4.0,Married,3929.0,8.0,Yes,23.0,3.0,1.0,7.0,0.0,3.0,4.0,2.0,0.0,1.0
24.0,Travel_Rarely,Human Resources,22.0,1.0,Human Resources,4.0,Male,1.0,1.0,Human Resources,3.0,Married,1555.0,1.0,No,11.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0
47.0,Travel_Rarely,Research & Development,2.0,2.0,Other,3.0,Female,3.0,4.0,Manager,4.0,Married,16752.0,1.0,Yes,11.0,3.0,1.0,26.0,3.0,2.0,26.0,0.0,0.0,8.5
27.0,Travel_Frequently,Research & Development,5.0,2.0,Life Sciences,4.0,Female,3.0,1.0,Laboratory Technician,4.0,Single,2379.0,0.0,Yes,14.0,3.0,0.0,6.0,3.0,2.0,5.0,2.0,0.0,2.0
27.0,Travel_Rarely,Research & Development,8.0,3.0,Medical,2.0,Female,4.0,1.0,Research Scientist,3.0,Married,3517.0,7.0,No,17.0,1.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,1.0
32.0,Non-Travel,Research & Development,15.0,4.0,Medical,3.0,Female,3.0,2.0,Healthcare Representative,4.0,Divorced,6667.0,5.0,No,18.0,2.0,1.0,9.0,6.0,3.0,5.0,2.0,0.0,1.0
46.0,Travel_Rarely,Research & Development,2.0,4.0,Technical Degree,4.0,Male,3.0,2.0,Manufacturing Director,4.0,Divorced,7379.0,2.0,No,11.0,3.0,1.0,12.0,3.0,2.0,6.0,4.0,0.0,2.0
38.0,Travel_Rarely,Sales,1.0,3.0,Life Sciences,1.0,Male,2.0,1.0,Sales Representative,1.0,Single,2858.0,4.0,No,14.0,1.0,0.0,20.0,3.0,2.0,1.0,0.0,0.0,0.0
41.0,Travel_Rarely,Sales,23.0,2.0,Life Sciences,4.0,Male,3.0,3.0,Sales Executive,3.0,Single,7082.0,3.0,Yes,16.0,4.0,0.0,21.0,2.0,3.0,2.0,2.0,0.0,0.0
28.0,Travel_Rarely,Sales,3.0,3.0,Medical,2.0,Female,3.0,1.0,Sales Representative,2.0,Married,2856.0,1.0,No,19.0,4.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
24.0,Travel_Rarely,Research & Development,1.0,2.0,Life Sciences,2.0,Male,2.0,2.0,Healthcare Representative,3.0,Single,4617.0,1.0,No,12.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,0.0,2.0
26.0,Travel_Rarely,Sales,5.0,3.0,Other,4.0,Female,2.0,1.0,Sales Representative,3.0,Single,2966.0,0.0,No,18.0,4.0,0.0,5.0,2.0,3.0,4.0,0.0,0.0,1.0
29.0,Travel_Rarely,Research & Development,8.0,1.0,Other,3.0,Female,1.0,2.0,Healthcare Representative,1.0,Married,9715.0,3.0,No,13.0,3.0,1.0,9.0,3.0,3.0,7.0,7.0,0.0,3.5
37.0,Travel_Rarely,Research & Development,11.0,2.0,Medical,1.0,Female,1.0,2.0,Healthcare Representative,2.0,Married,4777.0,5.0,No,15.0,1.0,0.0,15.0,2.0,1.0,1.0,0.0,1.0,0.0
59.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,3.0,Female,2.0,4.0,Manufacturing Director,4.0,Single,13726.0,3.0,Yes,13.0,1.0,0.0,30.0,4.0,3.0,5.0,3.0,0.0,3.5
25.0,Travel_Rarely,Sales,4.0,2.0,Life Sciences,2.0,Female,2.0,2.0,Sales Executive,4.0,Single,4487.0,1.0,Yes,11.0,2.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,2.5
